file,target,sheets
externalLink1.xml,/Users/USER/Downloads/eOA%20Tracker%2020260120.xlsx,"['Target Mar - 25', 'sitelist', 'Sheet3']"
externalLink2.xml,/Users/Admin/Downloads/Tracker%20online%20YPTT%20TSEL%20Kalimantan%20(6).xlsx,"['PIVOT', 'TRACKER YPTT', 'Sheet18', 'DATA PO']"
externalLink3.xml,/Users/danoej/Downloads/Tracker%20YPTT_Sitelist%20Acceleration%20CP1%202026_Target%20Desember%202025_Template.xlsx,"['Site List TI', 'TI_until Nov25', 'Pivot TI_U']"
externalLink4.xml,/Users/USER/Downloads/Tracker%20YPTT_Sitelist%20Acceleration%20CP1%202026_Target%20Desember%202025_Template.xlsx,"['Site List TI', 'TI_until Nov25', 'Pivot TI_U']"
